CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
7092,758,Spain,Male,40,3,0.0,2,0,0,96097.65
9632,760,Germany,Female,34,6,58003.41,1,1,0,90346.1
3286,678,France,Female,31,1,0.0,2,0,1,130446.65
7712,545,France,Male,30,3,0.0,2,1,0,170307.43
7868,611,Germany,Female,29,4,78885.88,2,1,1,26927.69
6067,563,France,Female,34,6,0.0,2,0,0,36536.93
9235,462,France,Male,27,4,176913.52,1,1,0,80587.27
3577,757,France,Male,23,2,80673.96,2,1,0,93991.65
1465,806,France,Female,32,3,63763.49,1,1,0,156593.09
7675,640,Spain,Male,37,5,158024.38,1,1,0,81298.09
2234,720,France,Female,38,10,0.0,2,1,1,56229.72
1744,850,France,Female,39,7,79259.99,1,0,1,186910.74
9754,673,Spain,Male,40,1,121629.22,1,1,1,3258.6
6094,589,France,Female,31,10,110635.32,1,1,0,148218.86
8781,438,France,Male,60,7,78391.17,1,0,1,49424.6
9401,705,Germany,Female,46,4,115518.07,1,0,0,76544.9
8371,813,Germany,Female,29,5,106059.4,1,0,0,187976.88
5027,681,Germany,Male,37,8,73179.34,2,1,1,25292.53
9234,642,Germany,Male,49,4,120688.61,1,1,0,24770.22
3944,612,France,Female,31,8,117989.76,1,1,1,54129.86
6862,586,France,Male,33,9,0.0,1,1,0,6975.02
5350,477,France,Female,57,9,114023.64,2,1,1,71167.17
9422,701,France,Male,33,9,147510.34,1,1,0,190611.92
2121,671,France,Male,30,2,0.0,1,0,1,102057.86
4972,643,Germany,Male,41,2,127841.52,1,1,0,172363.41
8576,751,France,Female,37,9,183613.66,2,0,0,49734.94
3784,640,France,Female,31,9,138857.59,1,1,0,48640.77
6872,850,France,Female,27,7,43658.33,2,1,1,3025.49
916,475,France,Male,39,6,0.0,1,1,1,56999.9
9394,597,Germany,Female,35,8,131101.04,1,1,1,192852.67
7252,567,Germany,Male,40,7,122265.24,1,1,0,138552.74
8012,747,France,Female,34,10,0.0,2,1,1,50759.8
5821,671,Germany,Female,47,7,114603.76,2,1,0,153194.32
4403,602,Germany,Female,43,2,113641.49,4,1,0,115116.35
4863,464,France,Female,33,10,147493.7,2,1,0,100447.53
8515,724,Germany,Female,35,0,171982.95,2,0,1,167313.07
5422,607,France,Female,31,1,102523.88,1,1,1,166792.71
7733,694,Germany,Female,58,1,143212.22,1,0,0,102628.56
1203,463,France,Male,35,2,101257.16,1,1,1,118113.64
3768,599,Spain,Male,34,2,101506.66,1,0,0,198030.24
5357,405,Germany,Male,31,5,133299.67,2,1,1,72950.14
3852,746,France,Male,36,9,127157.04,1,1,1,155700.15
1926,693,France,Male,31,1,0.0,2,0,1,182270.88
3114,619,France,Female,40,10,0.0,1,1,1,147093.84
2641,538,Germany,Female,28,6,164365.44,1,0,1,5698.97
7639,541,France,Male,46,6,0.0,2,1,1,83456.67
7360,644,Spain,Male,54,6,0.0,1,0,1,84622.37
8182,562,Spain,Male,36,5,0.0,1,0,1,182843.24
7610,762,France,Male,36,5,119547.46,1,1,1,42693.65
2728,749,Germany,Male,46,10,78136.36,2,1,1,73470.98
9597,509,France,Male,26,10,0.0,2,1,1,6177.83
4985,554,Germany,Male,26,4,121365.39,1,1,1,8742.36
6846,689,Spain,Female,40,5,154251.67,1,0,1,118319.5
7698,592,France,Male,60,9,0.0,4,1,1,13614.01
4012,554,Spain,Male,46,4,0.0,2,0,1,57320.92
2626,568,Germany,Female,29,2,129177.01,2,0,1,104617.99
7238,697,Spain,Male,62,7,0.0,1,1,0,129188.18
8255,575,France,Female,40,1,139532.34,1,1,0,181294.39
9565,582,France,Female,38,9,135979.01,4,1,1,76582.95
805,790,Spain,Female,46,9,0.0,1,0,0,14679.81
4634,610,Spain,Female,45,3,0.0,1,1,0,38276.84
5247,633,France,Male,59,5,0.0,1,1,1,137273.97
5566,633,Germany,Male,42,3,126041.02,1,0,1,11796.89
5739,712,France,Female,30,1,89571.59,1,1,1,177613.19
5143,646,Spain,Male,31,2,0.0,1,1,1,170821.43
8265,618,Germany,Female,40,0,140306.38,1,1,0,160618.61
4459,672,Germany,Female,23,10,110741.56,1,1,0,80778.5
1242,696,Germany,Male,30,4,114027.7,1,1,1,193716.56
6945,554,Germany,Female,31,6,135470.9,1,1,0,107074.81
5740,620,Germany,Female,34,8,102251.57,1,1,0,120672.09
5325,529,France,Female,43,0,123815.86,1,1,1,78463.99
547,479,Germany,Female,30,7,143964.36,2,1,0,41879.99
3022,648,Spain,Female,27,7,0.0,2,1,1,163060.43
5761,710,France,Female,31,3,0.0,2,1,1,112289.06
4031,688,Spain,Male,37,7,138162.41,2,1,1,113926.31
26,756,Germany,Male,36,2,136815.64,1,1,1,170041.95
4952,679,Spain,Male,58,9,109327.65,1,1,1,3829.13
5152,585,Spain,Male,36,10,0.0,2,1,1,180318.6
2508,677,France,Male,46,2,57037.74,1,1,1,158531.01
1433,755,France,Male,62,1,127706.33,2,0,1,142377.69
2582,656,France,Female,46,5,113402.14,2,1,1,138849.06
1302,428,France,Female,31,2,0.0,2,1,0,54487.43
5812,850,France,Male,41,3,136416.82,1,0,1,57844.26
7349,632,Germany,Male,42,6,59972.26,2,0,1,148172.94
5281,687,Spain,Male,31,3,0.0,2,0,0,48228.1
6114,627,France,Female,44,5,0.0,2,1,0,82969.61
1221,791,France,Male,37,2,163789.49,2,1,0,75832.53
7435,610,Spain,Female,50,5,130554.51,3,1,0,184758.17
2548,524,France,Male,50,4,0.0,2,1,1,31840.59
750,649,France,Male,41,0,0.0,2,0,1,130567.02
437,516,France,Male,35,10,104088.59,2,0,0,119666.0
4371,563,France,Female,35,2,183572.84,1,1,1,66006.75
4448,565,Germany,Female,40,1,89994.71,2,0,1,121084.27
2847,529,Spain,Male,38,7,99842.5,2,1,0,90256.06
1173,478,Spain,Female,36,3,92363.3,2,1,0,44912.7
7495,557,France,Female,27,2,0.0,2,0,1,4497.55
2699,633,Germany,Female,29,8,104944.1,1,1,1,97684.46
9888,637,France,Female,21,10,125712.2,1,0,0,175072.47
9506,682,France,Male,69,6,0.0,2,0,1,149604.18
6395,741,Germany,Female,36,0,127675.39,2,1,0,74260.16
2481,475,France,Female,57,1,0.0,2,1,0,89248.99
5456,659,Germany,Male,34,9,134464.58,2,1,0,178833.34
8444,792,France,Female,70,3,0.0,2,1,1,172240.27
2706,696,France,Male,22,9,149777.0,1,1,1,198032.93
4661,780,France,Female,43,0,0.0,1,0,1,15705.27
326,594,France,Male,35,2,0.0,2,1,0,103480.69
1039,714,France,Female,72,3,0.0,1,1,1,86733.61
2637,647,France,Female,29,0,98263.46,2,1,0,164717.95
5022,734,France,Male,45,2,0.0,2,1,0,99593.28
2499,614,France,Female,37,8,75150.34,4,0,1,131766.67
1004,601,Germany,Female,26,7,105514.69,2,1,0,50070.59
2861,525,France,Female,25,6,0.0,2,1,0,89566.64
3233,595,Spain,Male,36,6,85768.42,1,1,1,24802.77
1870,624,Spain,Male,33,6,0.0,2,0,0,76551.7
4245,732,France,Female,34,8,122338.43,2,1,0,187985.85
6927,601,France,Female,37,5,0.0,1,0,0,20708.6
8385,605,France,Female,62,4,111065.93,2,0,1,125660.99
534,550,France,Female,40,7,114354.95,1,1,0,54018.93
9827,602,Spain,Male,33,5,0.0,2,0,1,64038.34
7148,770,Spain,Male,30,8,0.0,2,0,1,50839.85
7365,568,Spain,Female,36,10,153610.61,1,1,1,54083.8
585,760,France,Female,51,2,100946.71,1,0,0,179614.8
9914,496,France,Female,34,1,102723.35,2,1,0,180844.81
3035,817,Germany,Male,45,9,101207.75,1,0,0,88211.12
4428,602,France,Female,35,5,0.0,2,1,0,31050.02
4089,662,France,Female,47,6,0.0,2,1,1,129392.75
1703,790,Germany,Male,42,1,85839.62,1,1,0,198182.73
4295,476,Germany,Female,34,8,111905.43,1,0,1,197221.81
5719,692,France,Male,27,1,125547.53,1,0,0,7900.46
491,710,France,Female,41,2,156067.05,1,1,1,9983.88
6899,569,France,Male,66,2,0.0,1,1,0,130784.2
4353,805,France,Female,31,4,0.0,2,1,0,4798.12
2836,679,France,Male,60,8,0.0,2,1,1,51380.9
2266,617,Germany,Female,37,4,116471.43,2,1,0,175324.74
7718,740,France,Female,60,5,108028.08,2,0,0,25980.42
9523,660,France,Female,32,0,114668.89,1,1,0,84605.0
8022,616,France,Female,31,3,136789.14,1,1,0,59346.4
4707,511,France,Male,27,8,0.0,2,1,1,49089.36
9843,646,Germany,Male,24,0,92398.08,1,1,1,18897.29
2900,626,Spain,Female,26,8,148610.41,3,0,1,104502.02
9618,581,France,Female,24,3,95508.2,1,1,1,45755.0
2944,576,France,Male,32,7,0.0,2,1,0,4660.91
1916,543,Germany,Male,48,1,100900.5,1,0,0,33310.72
3185,652,Germany,Female,45,9,110827.49,1,1,1,153383.54
8626,657,Germany,Male,40,7,99165.84,1,0,1,119333.95
9434,638,Spain,Female,34,7,0.0,2,0,0,3946.29
7255,563,France,Female,32,0,148326.09,1,1,0,191604.27
4246,617,France,Female,30,8,0.0,1,1,1,92621.9
8615,658,France,Female,39,4,0.0,1,1,1,147530.06
5146,850,Germany,Male,32,2,128647.98,2,0,0,54416.18
8565,632,France,Female,40,9,139625.34,1,1,0,93702.96
2518,758,France,Female,50,2,95813.76,3,1,1,67944.09
397,547,Germany,Male,32,8,155726.85,1,1,0,67789.99
1317,789,France,Male,37,3,0.0,1,1,0,121883.87
4560,624,Spain,Female,36,0,0.0,2,1,0,111605.9
121,674,Spain,Male,39,6,120193.42,1,0,0,100130.95
2449,537,Germany,Female,46,5,100727.5,1,0,1,140857.76
8855,697,Spain,Male,43,10,128226.37,1,0,0,188486.94
8108,437,Germany,Male,35,6,126803.34,2,1,1,161133.4
1566,524,Germany,Female,37,9,127480.58,2,1,0,179634.69
1984,531,Spain,Female,45,1,126495.57,2,1,1,164741.5
4333,724,Germany,Male,34,6,118235.7,2,0,0,157137.23
7910,561,Spain,Male,28,6,123692.0,1,1,1,70548.96
9286,720,Germany,Female,29,7,106230.92,1,1,1,69903.93
3918,850,France,Male,29,1,0.0,2,0,0,152996.89
2173,698,France,Female,46,0,0.0,2,1,1,125962.02
3283,635,Germany,Female,48,4,81556.89,2,1,0,191914.37
8495,696,France,Male,42,4,0.0,1,0,0,126353.13
8584,731,France,Male,19,6,0.0,2,1,1,151581.79
2333,484,Spain,Male,36,8,0.0,2,1,0,186136.48
573,648,Spain,Female,49,10,0.0,2,1,1,159835.78
3660,494,Spain,Male,27,2,0.0,2,1,0,22404.64
9075,576,France,Male,40,9,0.0,2,1,0,112465.19
981,749,Germany,Female,44,0,71497.79,2,0,0,151083.8
9370,561,France,Male,43,4,0.0,4,0,0,18522.91
1407,721,France,Male,69,2,108424.19,1,1,1,178418.35
535,608,France,Male,59,1,0.0,1,1,0,70649.64
4315,632,Germany,Male,30,1,58668.02,1,1,1,78670.52
4598,638,France,Male,46,9,139859.54,1,1,0,38967.29
8622,706,Germany,Male,36,9,58571.18,2,1,0,40774.01
8758,663,France,Male,34,10,0.0,1,1,1,114083.73
1434,552,France,Female,41,9,124349.34,1,1,0,135635.25
6994,557,France,Female,24,4,0.0,1,0,0,20515.72
2579,365,Germany,Male,30,0,127760.07,1,1,0,81537.85
9403,638,France,Female,36,6,0.0,1,1,0,164247.51
3269,664,Germany,Male,33,7,97286.16,2,1,0,143433.33
9553,646,France,Male,38,7,0.0,2,1,0,1528.4
3838,628,Germany,Male,50,4,122227.71,1,0,1,14217.77
1867,715,France,Female,33,3,85227.84,1,1,1,68087.15
1454,521,Spain,Female,34,7,70731.07,1,1,1,20243.97
1786,711,Spain,Male,37,2,0.0,2,1,0,83978.86
9912,701,Spain,Female,34,6,107980.37,1,1,1,119374.74
7095,753,Germany,Female,38,1,117314.92,1,1,0,122021.33
2521,638,Germany,Male,25,4,148045.45,2,1,1,114722.42
4439,613,France,Female,21,7,105627.95,1,1,1,36560.51
1820,604,Spain,Male,23,9,124577.33,1,1,1,7267.25
5615,520,France,Female,29,8,95947.76,1,1,0,4696.44
2929,744,Germany,Male,32,4,96106.83,1,1,1,79812.77
51,585,Germany,Male,36,5,146050.97,2,0,0,86424.57
4726,633,Germany,Male,50,7,88302.65,1,1,1,195937.16
5716,611,Germany,Male,37,1,117524.72,2,0,1,161064.29
5465,647,Germany,Female,41,1,85906.65,3,1,0,189159.97
469,753,France,Male,35,3,0.0,2,1,1,184843.77
2629,768,Spain,Female,42,3,0.0,1,0,0,161242.99
6513,513,Spain,Female,41,9,107135.04,2,1,1,160546.58
7467,651,Germany,Female,37,10,117791.06,2,1,1,75837.58
3945,657,Spain,Male,40,10,0.0,2,1,1,52990.7
6204,498,France,Male,33,1,198113.86,1,1,0,69664.35
4262,515,France,Male,41,8,0.0,2,1,1,185054.14
1858,705,France,Male,61,4,0.0,2,1,1,191313.7
9532,592,France,Male,29,7,0.0,2,1,1,91196.67
865,678,Germany,Female,25,10,76968.12,2,0,1,131501.72
6390,574,Spain,Female,37,7,0.0,2,1,0,32262.28
7212,711,France,Female,25,5,190066.54,1,0,0,51345.39
4921,526,Spain,Female,33,8,114634.63,2,1,0,110114.38
8101,581,Germany,Female,43,5,93259.57,3,1,0,141035.65
4792,756,Spain,Male,19,4,130274.22,1,1,1,133535.29
8854,674,Spain,Female,39,6,0.0,2,1,1,9574.83
6250,608,France,Male,42,10,163548.07,1,1,0,38866.85
5936,588,Spain,Female,22,9,67178.19,1,1,1,163534.75
425,648,France,Male,26,9,162923.85,1,1,0,98368.24
188,616,Spain,Male,30,5,0.0,2,0,1,196108.51
5629,578,Spain,Male,28,4,0.0,2,0,0,6947.09
4359,545,Germany,Female,44,2,127536.44,1,1,0,108398.63
228,751,Germany,Male,50,2,96888.39,1,1,0,77206.25
7757,850,France,Male,40,6,97339.99,1,0,1,88815.25
7677,695,France,Male,36,4,161533.0,1,1,0,100940.91
2741,535,France,Female,38,8,0.0,2,1,0,136620.64
1041,722,France,Male,30,5,0.0,2,1,0,166376.54
4075,713,France,Male,43,5,86394.14,1,1,1,130001.13
9140,449,France,Female,21,7,0.0,2,0,0,175743.92
6118,632,France,Female,49,5,167962.7,1,0,0,140201.21
6902,457,Spain,Male,44,7,0.0,2,0,0,185992.36
471,703,France,Male,37,1,149762.08,1,1,0,20629.4
2921,507,Germany,Female,46,8,102785.16,1,1,1,70323.68
1905,535,Germany,Male,20,9,134874.4,1,1,1,118825.56
8876,556,Spain,Male,46,3,131764.96,1,1,1,108500.66
801,671,Germany,Female,44,0,84745.03,2,0,1,34673.98
1487,710,Spain,Female,51,4,93656.95,1,0,1,141400.51
8441,624,France,Female,23,5,0.0,2,0,0,132418.59
227,547,Germany,Female,39,6,74596.15,3,1,1,85746.52
7890,565,France,Male,49,7,0.0,2,1,1,89609.26
1128,675,France,Female,32,2,155663.31,1,1,0,97658.66
5070,641,France,Female,42,6,0.0,2,0,0,121138.77
9166,627,Germany,Female,35,2,137852.96,1,1,1,172269.21
2208,728,France,Female,46,2,109705.52,1,1,0,20276.87
7993,585,France,Female,33,4,152805.05,1,1,0,63239.65
9842,638,Spain,Male,30,9,136808.53,2,1,1,106642.97
6559,533,Germany,Male,38,4,70362.52,2,1,1,104189.46
9921,757,Germany,Male,36,1,65349.71,1,0,0,64539.64
3153,702,France,Female,29,6,149218.39,1,1,1,9633.01
4441,624,France,Female,38,3,0.0,2,1,1,163666.85
7505,659,Spain,Male,27,4,0.0,2,1,0,99341.87
8957,585,Germany,Male,37,6,152496.82,1,1,1,99907.29
6215,553,Spain,Male,41,6,144974.55,1,1,1,19344.92
9598,508,France,Male,35,1,86893.28,1,0,0,59374.82
2144,634,Spain,Male,34,1,0.0,2,1,0,61995.57
7411,626,Germany,Female,23,6,85897.95,1,1,0,109742.8
8929,569,France,Female,35,4,93934.63,1,1,0,184748.23
2374,639,Spain,Male,29,4,133434.57,2,1,0,97983.44
2577,616,Germany,Male,29,8,149318.55,1,1,0,140746.13
1632,617,France,Male,30,3,132005.77,1,1,0,142940.39
4832,617,France,Female,79,7,0.0,1,1,1,160589.18
2298,607,Germany,Male,61,2,164523.5,2,1,1,35786.76
5033,536,France,Female,61,8,65190.29,1,1,1,64308.49
156,758,France,Female,33,7,0.0,2,0,0,82996.47
8046,811,France,Female,47,3,123365.34,2,0,0,171995.34
6706,662,France,Male,64,0,98848.19,1,0,1,42730.12
3349,665,Germany,Female,45,5,155447.65,2,1,0,51871.95
2879,750,Germany,Female,52,6,107467.56,1,1,0,126233.18
3413,605,France,Male,39,3,0.0,2,1,0,199390.45
7768,601,Spain,Female,20,9,122446.61,2,1,0,86791.9
4189,598,France,Female,32,4,111156.52,1,1,1,167376.26
9610,455,France,Male,40,1,0.0,3,0,1,129975.34
9734,667,Germany,Male,70,3,77356.92,2,1,1,20881.96
7251,724,Germany,Male,31,9,138166.3,1,1,0,12920.43
7613,634,France,Female,37,7,51582.5,2,1,1,184312.88
6919,782,France,Male,33,7,191523.09,1,1,1,167058.75
9681,651,Spain,Female,63,8,129968.67,1,1,1,11830.53
9671,649,Germany,Male,78,4,68345.86,2,1,1,142566.75
4794,705,France,Female,39,5,149379.66,2,1,0,96075.55
5654,677,Spain,Female,43,3,133214.88,2,1,1,95936.84
2495,466,Germany,Female,56,2,111920.13,3,1,0,197634.11
7304,679,Germany,Male,58,8,125850.53,2,1,1,87008.17
2372,737,Germany,Female,43,1,125537.38,1,1,0,138510.01
4091,599,Germany,Male,39,2,188976.89,2,0,1,176142.09
9471,523,France,Male,22,8,123374.46,1,1,1,124906.59
3461,781,Spain,Male,35,4,80790.74,1,1,0,116429.51
7006,544,France,Female,33,6,0.0,2,1,1,124113.04
5391,639,Spain,Female,27,8,133806.54,2,1,0,6251.3
7172,602,France,Female,33,8,0.0,2,1,1,112928.74
5696,617,France,Male,41,7,0.0,2,0,1,14496.67
5664,667,Spain,Male,71,4,137260.78,1,0,1,94433.08
4503,656,France,Male,33,7,138705.02,2,1,0,37136.15
2550,850,France,Male,42,0,0.0,2,1,0,44165.84
4715,800,Spain,Male,38,1,0.0,2,1,0,51553.43
847,468,France,Female,42,5,0.0,2,1,0,125305.34
3344,565,Germany,Male,33,8,130368.31,2,1,0,105642.43
938,577,France,Female,37,4,0.0,1,1,1,79881.39
4825,622,France,Male,31,5,106260.67,1,1,1,2578.43
9693,617,Germany,Female,51,10,167273.71,1,0,0,93439.75
8863,687,Spain,Male,38,8,69434.4,2,1,1,66580.13
8610,730,France,Male,23,8,0.0,2,1,0,183284.53
5354,789,France,Male,31,4,175477.15,1,1,1,172832.9
5477,724,France,Female,34,2,0.0,2,1,1,118863.38
9723,526,France,Male,32,7,125540.05,1,0,0,86786.41
756,664,Germany,Female,36,2,127160.78,2,1,0,78140.75
4750,850,France,Female,35,5,0.0,1,1,1,80992.8
2644,736,France,Male,27,5,51522.75,1,0,1,192131.77
4162,652,France,Female,74,5,0.0,2,1,1,937.15
8648,809,Spain,Female,48,2,0.0,1,1,0,160976.85
3165,651,France,Female,39,6,0.0,1,1,0,24176.44
6497,669,France,Male,50,9,201009.64,1,1,0,158032.5
5987,630,Germany,Female,25,7,79656.81,1,1,0,93524.22
3873,530,Spain,Male,37,4,0.0,2,1,1,164844.37
7751,750,Spain,Female,39,6,0.0,2,0,0,19264.33
6523,671,Spain,Female,31,4,0.0,2,0,1,79270.02
3418,792,France,Female,42,2,0.0,2,1,0,92664.09
9904,690,Spain,Female,36,10,91760.11,1,1,1,135784.94
2061,445,Germany,Female,38,6,119413.62,2,1,0,175756.36
549,749,France,Male,24,1,0.0,3,1,1,47911.03
4453,809,Germany,Male,33,8,148055.74,1,0,0,199203.21
2812,597,France,Male,28,2,0.0,3,1,1,78707.97
8777,603,Spain,Male,24,1,165149.13,2,1,0,21858.28
8995,573,Spain,Male,28,8,0.0,2,0,0,77660.03
2549,645,France,Female,36,8,0.0,2,1,1,12096.61
6069,576,Spain,Male,52,2,100549.43,2,1,1,16644.16
3169,677,Spain,Male,40,5,0.0,2,1,0,88947.56
7054,769,Spain,Male,38,6,0.0,2,0,0,104393.78
4828,741,Spain,Female,42,9,121056.63,2,1,0,39122.58
9570,631,France,Male,35,8,129205.49,1,1,1,79146.36
1259,559,Germany,Female,36,1,104356.94,2,0,1,54184.06
8712,469,Spain,Male,35,5,0.0,2,1,0,186490.37
3661,497,Germany,Male,35,7,110053.62,2,1,1,92887.06
7922,679,Spain,Male,39,6,0.0,2,1,0,12266.06
1024,718,France,Female,25,4,108691.95,1,1,0,63030.97
4965,782,France,Male,36,1,148795.17,2,1,1,195681.43
752,490,France,Female,35,7,107749.03,1,1,1,3937.37
3942,649,Spain,Male,20,5,0.0,2,1,1,58309.54
3710,645,France,Male,30,1,125739.26,1,1,1,193441.23
9960,795,Germany,Female,33,9,104552.72,1,1,1,120853.83
1951,604,France,Male,53,8,144453.75,1,1,0,190998.96
6314,844,France,Female,41,10,76319.64,1,1,1,141175.18
351,762,Spain,Male,39,2,81273.13,1,1,1,18719.67
1511,575,Spain,Female,37,0,0.0,2,0,0,30114.32
4829,687,France,Male,34,5,128270.56,1,1,0,191092.62
9616,683,Spain,Male,35,9,61172.04,1,0,0,82951.12
3746,688,Germany,Male,35,5,111578.18,1,0,0,166165.93
5799,625,France,Female,45,3,0.0,1,1,1,184474.15
701,669,France,Male,30,7,95128.86,1,0,0,19799.26
3693,742,France,Female,60,4,0.0,1,1,1,13161.66
4614,730,France,Male,34,1,0.0,2,1,1,126592.01
7213,484,Germany,Female,55,8,149349.58,3,0,0,137519.92
561,650,Spain,Male,61,1,152968.73,1,0,1,82970.69
2318,672,Spain,Male,33,2,0.0,2,1,1,182738.0
3098,539,France,Female,24,3,0.0,2,1,1,198161.07
4838,556,France,Female,40,9,129860.37,1,0,0,17992.94
3150,573,Germany,Female,35,9,206868.78,2,0,1,102986.15
5608,518,France,Female,27,1,133801.49,1,1,1,143315.57
4299,615,France,Male,30,8,0.0,2,0,0,3183.15
4618,526,France,Male,42,1,0.0,1,0,1,168486.02
4074,718,France,Female,35,2,167924.95,1,1,0,43024.64
3994,809,Spain,Male,80,8,0.0,2,0,1,34164.05
6373,597,France,Male,67,2,0.0,2,0,1,108645.85
6167,657,Spain,Male,75,7,126273.95,1,0,1,91673.6
1047,726,France,Female,48,4,0.0,1,1,0,114020.06
2939,533,France,Female,39,2,0.0,1,0,1,73669.94
1808,739,France,Male,41,5,0.0,2,0,0,143882.25
3166,555,Germany,Male,62,4,119817.33,1,0,1,43507.1
414,795,Spain,Male,35,8,0.0,2,1,0,167155.36
1340,727,Spain,Male,43,2,97403.18,1,1,1,107415.02
9371,641,France,Male,31,9,112494.99,1,1,1,32231.6
7740,665,Spain,Female,51,8,0.0,1,1,1,38928.48
5060,577,France,Female,35,4,108155.49,1,1,0,105407.79
4633,477,Germany,Male,48,8,129250.0,2,1,1,157937.35
4609,581,Spain,Male,34,1,0.0,2,0,1,81175.25
7366,598,Spain,Female,35,8,0.0,3,0,1,88658.73
1469,819,Germany,Female,49,1,120656.86,4,0,0,166164.3
1710,828,Spain,Male,28,8,134766.85,1,1,0,79355.87
6270,696,Spain,Male,24,9,0.0,1,0,0,10883.52
8732,724,France,Female,29,6,0.0,2,0,1,64729.51
2271,665,Germany,Male,25,5,153611.83,2,1,0,35321.65
1583,709,France,Female,43,8,0.0,2,0,0,168035.62
1412,673,Germany,Female,29,4,99097.36,1,1,1,9796.69
4111,691,Spain,Male,40,1,0.0,2,1,1,145613.17
7652,704,France,Male,24,2,148197.15,2,1,0,182775.08
6693,637,France,Male,27,9,128940.24,1,1,0,46786.92
1722,595,Spain,Female,30,5,100683.54,1,1,1,178361.04
2024,545,Spain,Female,39,6,0.0,1,0,0,38410.74
2212,741,Germany,Female,37,8,170840.08,2,0,0,109843.16
1507,549,Germany,Female,43,3,134985.66,1,1,0,6101.41
2622,627,Germany,Male,27,0,185267.45,2,1,1,77027.34
5290,795,Germany,Female,56,9,94348.94,1,1,0,29239.29
9128,693,Germany,Female,43,1,121927.92,1,1,0,87994.95
1321,724,France,Male,40,6,0.0,2,0,0,106149.48
842,660,Germany,Male,35,8,58641.43,1,0,1,198674.08
1146,614,Germany,Female,30,3,131344.52,2,1,0,54776.64
3624,640,France,Female,33,1,167298.42,1,0,1,145381.65
4280,766,Germany,Female,62,7,142724.48,1,0,1,5893.23
9010,645,Germany,Female,59,8,121669.93,2,0,0,91.75
8986,760,Spain,Male,43,6,175735.5,1,1,1,157337.29
4681,708,France,Female,44,2,161887.81,2,1,0,84870.23
463,662,France,Female,32,4,133950.37,1,1,1,48725.68
1754,724,Germany,Male,33,5,103564.83,2,1,0,121085.72
3936,707,Spain,Female,32,4,132835.56,1,0,0,136877.24
7933,782,France,Female,70,7,97072.42,1,0,1,131177.22
9460,744,Spain,Male,35,7,0.0,2,1,1,43036.6
4401,845,Spain,Female,38,2,112803.92,1,1,0,179631.85
4700,838,Spain,Male,35,0,0.0,2,0,1,197305.91
8991,547,Germany,Female,42,1,142703.4,1,1,0,86207.49
378,629,Spain,Female,30,2,34013.63,1,1,0,19570.63
3106,554,France,Female,45,6,0.0,2,1,1,181204.5
8215,687,France,Female,61,7,80538.56,1,1,0,131305.37
1335,568,Spain,Female,43,9,0.0,1,1,0,125870.79
1223,699,Spain,Male,47,1,0.0,2,0,1,30117.44
3848,560,Germany,Male,41,4,152532.3,1,0,0,10779.69
2716,695,France,Male,45,3,0.0,2,1,1,30793.61
6837,664,France,Male,40,9,0.0,2,1,0,194767.3
2952,733,France,Male,51,10,141556.96,1,1,0,130189.53
1350,717,France,Female,41,3,135756.96,1,1,1,103706.41
1082,688,Spain,Male,36,0,89772.3,1,1,0,177383.68
6453,566,Germany,Female,44,5,141428.99,2,0,0,68408.74
1811,779,France,Female,26,0,0.0,2,0,1,111906.0
4121,628,Spain,Male,42,7,0.0,2,0,1,172967.87
1351,648,France,Female,54,9,120633.42,1,0,0,5924.38
7817,677,France,Male,58,9,0.0,1,0,1,168650.4
8796,720,France,Male,33,2,0.0,2,0,1,141031.08
1894,535,Spain,Female,49,7,115309.75,1,1,0,111421.77
6639,588,Germany,Male,41,6,106116.56,2,1,0,198766.61
565,543,France,Male,36,4,0.0,2,1,1,141210.5
3903,643,Spain,Female,45,9,150840.03,2,1,0,155516.35
7100,650,Spain,Male,24,8,108881.73,1,1,0,104492.83
3673,764,France,Male,24,7,98148.61,1,1,0,26843.76
4366,662,France,Male,74,6,0.0,2,1,0,123583.85
7545,732,France,Male,26,7,0.0,2,1,0,154364.66
1212,610,Spain,Male,42,6,0.0,2,1,0,158302.59
1189,701,France,Male,40,5,169742.64,1,1,1,153537.55
3955,625,France,Male,39,2,0.0,2,1,0,100403.05
898,523,France,Female,40,2,102967.41,1,1,0,128702.1
4786,577,France,Female,34,2,0.0,2,1,1,84033.35
8092,802,France,Male,38,1,142557.11,1,1,1,172497.73
4602,722,Spain,Female,35,1,120171.58,1,1,0,125240.8
8896,712,France,Male,34,1,0.0,2,1,1,195052.12
3454,612,France,Male,24,1,182705.05,1,1,1,171837.06
3609,850,Germany,Male,40,6,94607.08,1,1,0,36690.49
8157,719,Spain,Female,32,7,0.0,1,0,0,76264.27
8765,675,France,Male,39,1,0.0,2,1,0,153129.22
9677,724,Germany,Male,33,4,88046.88,1,0,1,186942.49
7572,586,Germany,Male,37,8,167735.69,2,0,1,104665.79
3909,431,France,Male,63,6,160982.89,1,1,1,168008.17
4028,463,Germany,Female,41,8,123151.51,2,1,0,70127.93
3931,706,France,Female,35,8,178032.53,1,0,1,42181.68
2332,439,France,Female,29,6,156569.43,1,1,0,180598.66
7302,491,France,Female,72,6,91285.22,1,1,1,7032.95
2262,572,France,Male,43,2,140431.98,1,1,0,26450.57
